CODICE;NOME;NOME_GAZZETTA;RUOLO;USER_ID;MEDIA_PUNTI;STATO
18177;neto;NETO;P;10;0;INDISPONIBILE
18116;consigli;CONSIGLI;P;10;0;INDISPONIBILE
21403;pomini;POMINI;P;10;0;INDISPONIBILE
18300;moras;MORAS;D;10;0;INDISPONIBILE
17958;acerbi;ACERBI;D;10;0;INDISPONIBILE
15981;albiol;ALBIOL;D;10;0;INDISPONIBILE
51246;ali_adnan;ADNAN;D;10;0;INDISPONIBILE
17923;basta;BASTA;D;10;0;INDISPONIBILE
18255;maggio;MAGGIO;D;10;0;INDISPONIBILE
17924;coda;CODA;D;10;0;INDISPONIBILE
17802;bonucci;BONUCCI;D;10;0;INDISPONIBILE
18130;bonaventura;BONAVENTURA;C;10;0;INDISPONIBILE
18035;cuadrado;CUADRADO;C;10;0;INDISPONIBILE
37945;kondogbia;KONDOGBIA;C;10;0;INDISPONIBILE
18313;parolo;PAROLO;C;10;0;INDISPONIBILE
17975;hetemaj;HETEMAL;C;10;0;INDISPONIBILE
16655;pogba;POGBA;C;10;0;INDISPONIBILE
17942;pereyra;PEREYRA;C;10;0;INDISPONIBILE
21860;bacca;BACCA;A;10;0;INDISPONIBILE
17913;klose;KLOSE;A;10;0;INDISPONIBILE
17950;a._floro_flores;FLORES;A;10;0;INDISPONIBILE
17424;mandzukic;MANDZUKIC;A;10;0;INDISPONIBILE
17983;paloschi;PALOSCHI;A;10;0;INDISPONIBILE
