CODICE;NOME;NOME_GAZZETTA;RUOLO;USER_ID;MEDIA_PUNTI;STATO
40905;m._sportiello;SPORTIELLO;P;5;0;INDISPONIBILE
21402;d._bassi;BASSI;P;5;0;INDISPONIBILE
17884;a._bizzarri;BIZZARRI;P;5;0;INDISPONIBILE
18273;e._moretti;MORETTI;D;5;0;INDISPONIBILE
19957;alex_sandro;ALEX SANDRO;D;5;0;INDISPONIBILE
17804;g._chiellini;CHIELLINI;D;5;0;INDISPONIBILE
21149;l._insigne;INSIGNE;A;5;0;INDISPONIBILE
20920;l._tonelli;TONELLI;D;5;0;INDISPONIBILE
17251;c._molinaro;MOLINARO;D;5;0;INDISPONIBILE
37787;j._murillo;MURILLO;D;5;0;INDISPONIBILE
24714;i._strinić;STRINIC;D;5;0;INDISPONIBILE
16704;d._santon;SANTON;D;5;0;INDISPONIBILE
16035;s._kéita;S. KEITA;C;5;0;INDISPONIBILE
21089;p._tachtsidis;TACHTSIDIS;C;5;0;INDISPONIBILE
17784;m._pjanić;PJANIC;C;5;0;INDISPONIBILE
17936;k._asamoah;ASAMOAH;C;5;0;INDISPONIBILE
17779;d._de_rossi;DE ROSSI;C;5;0;INDISPONIBILE
18198;r._montolivo;MONTOLIVO;C;5;0;INDISPONIBILE
17935;e._agyemang-badu;BADU;C;5;0;INDISPONIBILE
16202;g._rossi;ROSSI;A;5;0;INDISPONIBILE
19974;j._iturbe;ITURBE;A;5;0;INDISPONIBILE
27351;s._zaza;ZAZA;A;5;0;INDISPONIBILE
16005;álvaro_morata;MORATA;A;5;0;INDISPONIBILE
17798;g._buffon;BUFFON;P;3;0;INDISPONIBILE
