CODICE;NOME;NOME_GAZZETTA;RUOLO;USER_ID;MEDIA_PUNTI;STATO
16172;diego_lopez;DIEGO LOPEZ;P;13;0;INDISPONIBILE
21155;perin;PERIN;P;13;0;INDISPONIBILE
17726;abbiati;ABBIATI;P;13;0;INDISPONIBILE
18152;astori;ASTORI;P;13;0;INDISPONIBILE
18627;digne;DIGNE;P;13;0;INDISPONIBILE
20951;glik;GLIK;P;13;0;INDISPONIBILE
17729;abate;ABATE;P;13;0;INDISPONIBILE
37669;leandro_castan;CASTAN;P;13;0;INDISPONIBILE
18032;tomovic;TOMOVIC;P;13;0;INDISPONIBILE
16635;evra;EVRA;P;13;0;INDISPONIBILE
17769;burdisso;BURDISSO;P;13;0;INDISPONIBILE
20785;el_kaddouri;EL KADDOURI;P;13;0;INDISPONIBILE
21194;baselli;BASELLI;P;13;0;INDISPONIBILE
37188;felipe_melo;FELIPE MELO;P;13;0;INDISPONIBILE
16126;medel;MEDEL;P;13;0;INDISPONIBILE
21112;florenzi;FLORENZI;P;13;0;INDISPONIBILE
16936;de_jong;DE JONG;P;13;0;INDISPONIBILE
17908;lulic;LULIC;P;13;0;INDISPONIBILE
16946;balotelli;BALOTELLI;P;13;0;INDISPONIBILE
15994;jose_callejon;CALLEJON;P;13;0;INDISPONIBILE
18203;jovetic;JOVETIC;P;13;0;INDISPONIBILE
18107;vazquez;VAZQUEZ;P;13;0;INDISPONIBILE
18143;gabbiadini;GABBIADINI;P;13;0;INDISPONIBILE
