CODICE;NOME;NOME_GAZZETTA;RUOLO;USER_ID;MEDIA_PUNTI;STATO
18085;viviano;VIVIANO;P;14;0;INDISPONIBILE
17919;handanovic;HANDANOVIC;P;14;0;INDISPONIBILE
18208;carrizo;CARRIZO;P;14;0;INDISPONIBILE
20776;de_maio;DE MAIO;P;14;0;INDISPONIBILE
17734;de_sciglio;DE SCIGLIO;P;14;0;INDISPONIBILE
29803;de_vrij;DE VRIJ;P;14;0;INDISPONIBILE
35209;lazaar;LAZAAR;P;14;0;INDISPONIBILE
17895;radu;RADU;P;14;0;INDISPONIBILE
20918;regini;REGINI;P;14;0;INDISPONIBILE
16184;rodriguez;RODRIGUEZ;P;14;0;INDISPONIBILE
21390;mario_rui;MARIO RUI;P;14;0;INDISPONIBILE
18166;nainggolan;NAINGGOLAN;P;14;0;INDISPONIBILE
23438;mertens;MERTENS;P;14;0;INDISPONIBILE
17313;blaszczykowski;BLASZCZYKOWSKI;P;14;0;INDISPONIBILE
40523;fernando;FERNANDO;P;14;0;INDISPONIBILE
17321;perisic;PERISIC;P;14;0;INDISPONIBILE
16096;mario_suarez;SUAREZ;P;14;0;INDISPONIBILE
38045;benassi;BENASSI;P;14;0;INDISPONIBILE
35059;berardi;BERARDI;P;14;0;INDISPONIBILE
16947;dzeko;DZEKO;P;14;0;INDISPONIBILE
20528;luiz_adriano;LUIZ ADRIANO;P;14;0;INDISPONIBILE
39156;bernardeschi;BERNARDESCHI;P;14;0;INDISPONIBILE
18196;ljajic;LJAJIC;P;14;0;INDISPONIBILE
43622;zapata;ZAPATA;P;14;0;INDISPONIBILE
