CODICE;NOME;NOME_GAZZETTA;RUOLO;USER_ID;MEDIA_PUNTI;STATO
16670;reina;REINA;P;15;0;INDISPONIBILE
17920;padelli;PADELLI;P;15;0;INDISPONIBILE
17852;castellazzi;CASTELLAZZI;P;15;0;INDISPONIBILE
16761;marcos_alonso;ALONSO;P;15;0;INDISPONIBILE
18128;stendardo;STENDARDO;P;15;0;INDISPONIBILE
46586;edenilson;EDENILSON;P;15;0;INDISPONIBILE
17931;danilo;DANILO;P;15;0;INDISPONIBILE
17861;juan_jesus;JUAN JESUS;P;15;0;INDISPONIBILE
17964;frey;FREY;P;15;0;INDISPONIBILE
38408;romagnoli;ROMAGNOLI;P;15;0;INDISPONIBILE
40984;oikonomou;OIKONOMOU;P;15;0;INDISPONIBILE
17871;palombo;PALOMBO;P;15;0;INDISPONIBILE
18285;birsa;BIRSA;P;15;0;INDISPONIBILE
21085;hallfredsson;HALLFREDSSON;P;15;0;INDISPONIBILE
20939;saponara;SAPONARA;P;15;0;INDISPONIBILE
17909;mauri;MAURI;P;15;0;INDISPONIBILE
18138;moralez;MORALEZ;P;15;0;INDISPONIBILE
40811;laxalt;LAXALT;P;15;0;INDISPONIBILE
17947;di_natale;DI NATALE;P;15;0;INDISPONIBILE
18103;ilicic;ILICIC;P;15;0;INDISPONIBILE
26214;toni;TONI;P;15;0;INDISPONIBILE
16004;higuain;HIGUAIN;P;15;0;INDISPONIBILE
16596;gervinho;GERVINHO;P;15;0;INDISPONIBILE
