CODICE;NOME;NOME_GAZZETTA;RUOLO;USER_ID;MEDIA_PUNTI;STATO
18236;de_sanctis;DE SANCTIS;P;16;0;INDISPONIBILE
16572;szczesny;SZCZESNY;P;16;0;INDISPONIBILE
17766;lobont;LOBONT;P;16;0;INDISPONIBILE
44574;alex_telles;TELLES;P;16;0;INDISPONIBILE
18266;antonelli;ANTONELLI;P;16;0;INDISPONIBILE
38270;barba;BARBA;P;16;0;INDISPONIBILE
24773;danilo_avelar;AVELAR;P;16;0;INDISPONIBILE
49188;bruno_peres;PERES;P;16;0;INDISPONIBILE
49114;gonzalez;GONZALEZ;P;16;0;INDISPONIBILE
16079;joÃ£miranda;JOÃMIRANDA;P;16;0;INDISPONIBILE
17960;cesar;CESAR;P;16;0;INDISPONIBILE
37192;allan;ALLAN;P;16;0;INDISPONIBILE
17870;guarin;GUARIN;P;16;0;INDISPONIBILE
17903;candreva;CANDREVA;P;16;0;INDISPONIBILE
17977;rigoni;RIGONI;P;16;0;INDISPONIBILE
18253;hamsik;HAMSIK;P;16;0;INDISPONIBILE
44830;kishna;KISHNA;P;16;0;INDISPONIBILE
36130;de_roon;DE ROON;P;16;0;INDISPONIBILE
38440;salah;SALAH;P;16;0;INDISPONIBILE
24726;kalinic;KALINIC;P;16;0;INDISPONIBILE
18287;gilardino;GILARDINO;P;16;0;INDISPONIBILE
17822;quagliarella;QUAGLIARELLA;P;16;0;INDISPONIBILE
27367;pavoletti;PAVOLETTI;P;16;0;INDISPONIBILE
